#Keys            100
#Texts/Key 134217728
#Steps            3
Alpha: 0000000080008000
Counter: 2261
key: b287a0427ded97556d1ed030418bb7d6
Counter: 2379
key: d3f13cac4a2f597d66a23bedf62be68f
Counter: 1213
key: 813894d7769e20f004738ded9e44d0b9
Counter: 2179
key: 8974142234f1ecbe82f336d9ab1cb7a1
Counter: 1422
key: 1d181b76d969d5ce3d03c283d2feb81f
Counter: 1169
key: c9b99cad0762e0929a33624d13cba864
Counter: 1636
key: 0c502b70c3267f2c8dd86e1ea0299bb5
Counter: 1305
key: 6f70e535ccce8566b3d0a701eaf5e68b
Counter: 1190
key: 2091a689e798a8cc4209ee39abfd9a12
Counter: 1669
key: 8c42191083e3e9fb92daa568c2611dcd
Counter: 2042
key: bd782dc174e706336946e63e5837b17b
Counter: 1548
key: b949ba9f44adfe015ffd70f6b4df276c
Counter: 1173
key: 697831db8d9e27bc568389d5a152197a
Counter: 2102
key: b2bd81a0a19936ddfd1026bb468d7c61
Counter: 1204

